Section,Key,Value
Totals,frames,1714
Totals,bytes_from_host,3790077
Totals,bytes_to_host,103776
Totals,http_posts,1
Totals,http_puts,0
Totals,ftp_stor,1
Totals,tftp_wrq,0
Totals,smb_write_create,0
Totals,dns_queries,0
Totals,dns_suspected_tunnel,0
Totals,ftp_files,1
Totals,tftp_files,0
TopDest,192.168.8.125,3806386
TopDest,192.168.8.255,276
SuspiciousRequests,count,2
SuspReq,0,"{'proto': 'HTTP', 'src': '192.168.8.141', 'dst': '192.168.8.125', 'filename': 'sample_report.pdf', 'saved_as': 'sample_report.pdf', 'note': 'Saved file from multipart/form-data in HTTP request'}"
SuspReq,1,"{'proto': 'FTP', 'command': 'STOR', 'src': '192.168.8.141', 'dst': '192.168.8.125', 'filename': 'trq.png', 'note': 'FTP file upload (STOR) from host'}"
Exported HTTP objects (tshark),count,3
ExportedHTTPFile,assign-documents_cleaned,"2515220 bytes; sha256=7e6807f5469d0f79d13505139c4cc88f42acabf08b5daf7786b7e5185a826287; type=PDF document, version 1.4"
ExportedHTTPFile,assign-documents(1),"229 bytes; sha256=76db5ed255ef732e903c1057c14a5f76a5eff8cda8d1215ba86aae0a5d4f09e3; type=HTML document, ASCII text"
ExportedHTTPFile,documents-processing,"10460 bytes; sha256=9bc054f0b0d8fe47366f20b8233e89340d7411a1ffdabeeba0ad02deaab66ae1; type=HTML document, ASCII text"
Exported FTP/TFTP objects (tshark),count,1
ExportedFTPFile,trq.png,"1250856 bytes; sha256=9ac6866c53518dfc7e0c6bc51b8bd9f01cc882a163c285e5f44bb50bb5a164ea; type=PE32 executable (GUI) Intel 80386, for MS Windows, Nullsoft Installer self-extracting archive"
Exported SMB objects (tshark),count,0
ParsedSavedFiles,count,2
ParsedFile,sample_report.pdf,"saved_as=sample_report.pdf; 2515221 bytes; sha256=3206ea0adcdc0703e81c2a2e8880340e6617679057d1100605d8de40ec3a5e65; type=PDF document, version 1.4; pkt=None"
ParsedFile,trq.png,saved_as=trq.png; 1250856 bytes; sha256=9ac6866c53518dfc7e0c6bc51b8bd9f01cc882a163c285e5f44bb50bb5a164ea; type=None; pkt=None
